ImageId,Label
1,8
2,6
3,7
4,1
5,1
6,0
7,1
8,1
9,1
10,4
11,4
12,6
13,6
14,8
15,6
16,9
17,0
18,0
19,4
20,3
21,5
22,3
23,3
24,8
25,2
26,6
27,3
28,4
29,9
30,5
31,3
32,1
33,1
34,0
35,1
36,9
37,5
38,3
39,3
40,1
41,1
42,0
43,2
44,0
45,5
46,1
47,8
48,0
49,5
50,7
51,0
52,7
53,3
54,2
55,4
56,2
57,9
58,4
59,9
60,8
61,3
62,5
63,1
64,5
65,6
66,4
67,3
68,1
69,1
70,0
71,1
72,9
73,9
74,0
75,1
76,0
77,0
78,0
79,4
80,4
81,1
82,9
83,5
84,4
85,3
86,3
87,6
88,9
89,6
90,6
91,1
92,0
93,8
94,4
95,2
96,1
97,1
98,1
99,4
100,7
101,3
102,6
103,6
104,2
105,2
106,5
107,8
108,7
109,8
110,7
111,7
112,0
113,7
114,9
115,7
116,5
117,0
118,1
119,7
120,3
121,2
122,2
123,1
124,0
125,3
126,6
127,1
128,8
129,5
130,3
131,9
132,6
133,6
134,8
135,0
136,6
137,3
138,9
139,7
140,8
141,8
142,5
143,0
144,1
145,4
146,8
147,0
148,5
149,3
150,7
151,4
152,9
153,2
154,4
155,1
156,1
157,1
158,2
159,4
160,2
161,9
162,3
163,3
164,5
165,7
166,5
167,4
168,4
169,4
170,7
171,8
172,7
173,0
174,0
175,2
176,0
177,9
178,6
179,3
180,3
181,5
182,7
183,8
184,1
185,4
186,3
187,0
188,1
189,1
190,9
191,7
192,5
193,7
194,0
195,0
196,7
197,9
198,8
199,8
200,1
201,2
202,8
203,5
204,6
205,0
206,8
207,1
208,0
209,6
210,9
211,1
212,1
213,9
214,1
215,9
216,1
217,7
218,5
219,1
220,5
221,0
222,6
223,6
224,8
225,3
226,4
227,5
228,7
229,1
230,8
231,5
232,6
233,2
234,4
235,6
236,8
237,5
238,3
239,8
240,5
241,4
242,2
243,8
244,9
245,0
246,0
247,3
248,0
249,9
250,1
251,9
252,4
253,3
254,2
255,7
256,9
257,6
258,0
259,8
260,1
261,1
262,2
263,9
264,2
265,5
266,9
267,0
268,2
269,4
270,7
271,1
272,6
273,4
274,6
275,4
276,4
277,4
278,8
279,7
280,1
281,4
282,3
283,6
284,2
285,9
286,2
287,4
288,1
289,4
290,7
291,2
292,2
293,8
294,1
295,6
296,0
297,1
298,7
299,3
300,5
301,9
302,2
303,4
304,4
305,4
306,5
307,0
308,9
309,4
310,0
311,1
312,2
313,5
314,5
315,7
316,3
317,2
318,5
319,0
320,2
321,0
322,0
323,8
324,6
